mp_name,party,gender,parliament
Tin Pei Ling,PAP,F,13
Tin Pei Ling,PAP,F,14
Tin Pei Ling,PAP,F,15
Usha Chandradas,NMP,F,14
Valerie Lee,PAP,F,15
Victor Lye,PAP,M,15
Vikram Nair,PAP,M,12
Vikram Nair,PAP,M,13
Vikram Nair,PAP,M,14
Vikram Nair,PAP,M,15
Vivian Balakrishnan,PAP,M,12
Vivian Balakrishnan,PAP,M,13
Vivian Balakrishnan,PAP,M,14
Vivian Balakrishnan,PAP,M,15
Walter Theseira,NMP,M,13
Wan Rizal,PAP,M,14
Wan Rizal,PAP,M,15
Wong Kan Seng,PAP,M,12
Xie Yao Quan,PAP,M,14
Xie Yao Quan,PAP,M,15
Yaacob Ibrahim,PAP,M,13
Yee Chia Hsing,PAP,M,13
Yee Jenn Jong,WP,M,12
Yeo Guat Kwang,PAP,M,12
Yeo Wan Ling,PAP,M,14
Yeo Wan Ling,PAP,M,15
Yip Hon Weng,PAP,M,14
Yip Hon Weng,PAP,M,15
Yip Pin Xiu,NMP,F,13
Zainal Sapari,PAP,M,12
Zainal Sapari,PAP,M,13
Zainudin Nordin,PAP,M,12
Zaqy Mohamad,PAP,M,12
Zaqy Mohamad,PAP,M,13
Zaqy Mohamad,PAP,M,14
Zaqy Mohamad,PAP,M,15
Zhulkarnain Abdul Rahim,PAP,M,14
Zhulkarnain Abdul Rahim,PAP,M,15
